date,commodity,dollar_sales,units,time_of_transaction
2020-02-18,pasta sauce,7285.12,4145,5330553
2020-02-18,syrups,2989.2400000000002,1294,1845548
2020-02-26,pancake mixes,839.3,505,672761
2020-02-26,pasta,4955.07,4457,5882281
2020-02-26,pasta sauce,7817.74,3895,5232785
2020-02-26,syrups,3070.29,1247,1794567
2020-02-27,pancake mixes,511.63,293,432842
2020-02-27,pasta,3795.24,3367,4682302
2020-02-27,pasta sauce,5730.81,2879,4074301
2020-02-27,syrups,1930.41,807,1205909
2020-02-28,pancake mixes,414.91,236,349046
2020-02-28,pasta,3138.6,2786,3720698
2020-02-28,pasta sauce,4809.2300000000005,2396,3261931
2020-02-28,syrups,1550.42,643,925831
2020-02-29,pancake mixes,439.21999999999997,269,376670
2020-02-29,pasta,3280.44,2883,3955429
2020-02-29,pasta sauce,4688.13,2359,3214679
2020-02-29,syrups,1821.17,755,1066714
2020-03-01,pancake mixes,475.33,294,414376
2020-03-01,pasta,2945.54,2598,3456931
2020-03-01,pasta sauce,4478.63,2208,3019816
2020-03-01,syrups,1718.3,715,1040104
2020-03-02,pancake mixes,563.6,354,492745
2020-03-02,pasta,2954.29,2641,3542817
2020-03-02,pasta sauce,4158.6,2074,2819505
2020-03-02,syrups,1974.92,817,1186625
2020-03-03,pancake mixes,909.06,548,713335
2020-03-03,pasta,4270.11,3961,5259971
2020-03-03,pasta sauce,6011.64,3028,4019836
2020-03-03,syrups,2782.3,1149,1649040
2020-03-11,pancake mixes,881.35,501,669762
2020-03-11,pasta,4513.71,4489,5894919
2020-03-11,pasta sauce,7275.01,3714,5049711
2020-03-11,syrups,2759.44,1127,1572667
2020-03-12,pancake mixes,462.43,267,395853
2020-03-12,pasta,3461.46,3444,4750338
2020-03-12,pasta sauce,5770.9,2974,4317651
2020-03-12,syrups,1822.84,749,1132690
2020-03-13,pancake mixes,423.17,241,346010
2020-03-13,pasta,3003.09,2948,3918544
2020-03-13,pasta sauce,4766.27,2447,3416023
2020-03-13,syrups,1429.71,585,903699
2020-03-14,pancake mixes,434.71,264,372819
2020-03-14,pasta,3094.6,3089,4048699
2020-03-14,pasta sauce,5015.46,2638,3579102
2020-03-14,syrups,1703.44,725,1061051
2020-03-15,pancake mixes,552.35,325,455749
2020-03-15,pasta,3128.75,3089,4083726
2020-03-15,pasta sauce,4788.54,2431,3360051
2020-03-15,syrups,1721.53,715,1061288
2020-03-16,pancake mixes,765.13,442,641846
2020-03-16,pasta,3547.31,3475,4483722
2020-03-16,pasta sauce,4881.88,2572,3483112
2020-03-16,syrups,2207.04,919,1355713
2020-03-17,pancake mixes,887.8,528,708733
2020-03-17,pasta,4624.78,4655,5938233
2020-03-17,pasta sauce,6399.58,3415,4427454
2020-03-17,syrups,3110.84,1297,1809468
2020-03-25,pancake mixes,804.29,458,580067
2020-03-25,pasta,3965.36,4006,5142167
2020-03-25,pasta sauce,5515.79,2865,3815005
2020-03-25,syrups,2596.73,1052,1476054
2020-03-26,pancake mixes,640.46,368,458489
2020-03-26,pasta,4008.33,4072,5135888
2020-03-26,pasta sauce,5861.9,3037,4009223
2020-03-26,syrups,2446.59,984,1353796
2020-03-27,pancake mixes,453.47,269,383588
2020-03-27,pasta,3609.19,3682,4970013
2020-03-27,pasta sauce,5834.81,3023,4200223
2020-03-27,syrups,1794.34,732,1087100
2020-03-28,pancake mixes,686.2,389,549890
2020-03-28,pasta,4701.79,4767,6075805
2020-03-28,pasta sauce,6674.25,3569,4738625
2020-03-28,syrups,2799.04,1132,1597895
2020-03-29,pancake mixes,416.21,237,349414
2020-03-29,pasta,2972.53,3030,3935209
2020-03-29,pasta sauce,4643.33,2468,3290006
2020-03-29,syrups,1673.91,657,979292
2020-03-30,pancake mixes,653.2,405,587163
2020-03-30,pasta,3151.4,3209,4185127
2020-03-30,pasta sauce,4560.18,2426,3273779
2020-03-30,syrups,2045.97,836,1268695
2020-03-31,pancake mixes,901.93,528,750263
2020-03-31,pasta,4560.05,4682,5919672
2020-03-31,pasta sauce,6536.7,3519,4574721
2020-03-31,syrups,2861.06,1172,1689099
2020-04-08,pancake mixes,801.78,462,610343
2020-04-08,pasta,5173.91,4941,6443211
2020-04-08,pasta sauce,7721.36,4011,5254017
2020-04-08,syrups,2927.36,1198,1719765
2020-04-09,pancake mixes,590.07,349,499521
2020-04-09,pasta,3939.54,3811,5004558
2020-04-09,pasta sauce,6121.15,3212,4325284
2020-04-09,syrups,2089.08,876,1269389
2020-04-10,pancake mixes,464.13,275,384771
2020-04-10,pasta,3240.9,3053,4055133
2020-04-10,pasta sauce,4954.05,2605,3563627
2020-04-10,syrups,1830.71,760,1094686
2020-04-11,pancake mixes,553.78,324,446801
2020-04-11,pasta,3522.62,3372,4313243
2020-04-11,pasta sauce,5078.63,2681,3611329
2020-04-11,syrups,2048.0,836,1214733
2020-04-12,pancake mixes,450.76,270,406274
2020-04-12,pasta,2918.6,2826,3678383
2020-04-12,pasta sauce,4241.76,2189,3005584
2020-04-12,syrups,1860.69,768,1137024
2020-04-13,pancake mixes,677.1,400,569295
2020-04-13,pasta,3284.31,3136,4069339
2020-04-13,pasta sauce,4608.63,2445,3240742
2020-04-13,syrups,2328.29,949,1421975
2020-04-14,pancake mixes,922.59,552,718605
2020-04-14,pasta,4551.18,4453,5672921
2020-04-14,pasta sauce,6372.4800000000005,3489,4482928
2020-04-14,syrups,2871.26,1190,1694137
2020-04-22,pancake mixes,915.69,523,666260
2020-04-22,pasta,5526.44,5871,6818003
2020-04-22,pasta sauce,8410.58,4623,5883437
2020-04-22,syrups,3077.66,1230,1729042
2020-04-23,pancake mixes,492.6,283,416524
2020-04-23,pasta,4166.63,4384,5465843
2020-04-23,pasta sauce,6564.91,3653,5048261
2020-04-23,syrups,1936.03,786,1207220
2020-04-24,pancake mixes,486.90999999999997,280,388437
2020-04-24,pasta,3314.27,3629,4292250
2020-04-24,pasta sauce,5529.22,3106,3984098
2020-04-24,syrups,1661.42,674,996890
2020-04-25,pancake mixes,474.35,280,381278
2020-04-25,pasta,3466.96,3849,4416630
2020-04-25,pasta sauce,5654.12,3251,4120219
2020-04-25,syrups,1758.72,724,1040841
2020-04-26,pancake mixes,487.9,283,398358
2020-04-26,pasta,3286.85,3535,4205035
2020-04-26,pasta sauce,5216.31,3017,3840730
2020-04-26,syrups,1744.56,709,1051210
2020-04-27,pancake mixes,641.5,376,533634
2020-04-27,pasta,3245.16,3466,4092731
2020-04-27,pasta sauce,4976.05,2862,3619078
2020-04-27,syrups,1951.81,800,1213338
2020-04-28,pancake mixes,880.75,489,641732
2020-04-28,pasta,4483.65,4791,5492136
2020-04-28,pasta sauce,6616.15,3743,4746327
2020-04-28,syrups,2771.18,1131,1621138
2020-05-06,pancake mixes,786.52,460,612586
2020-05-06,pasta,5038.41,5162,5956512
2020-05-06,pasta sauce,7106.54,3771,4848474
2020-05-06,syrups,2557.58,1030,1481926
2020-05-07,pancake mixes,512.5,301,421438
2020-05-07,pasta,3973.85,4088,5100241
2020-05-07,pasta sauce,5984.1,3148,4335513
2020-05-07,syrups,1878.03,731,1051335
2020-05-08,pancake mixes,382.91,233,324253
2020-05-08,pasta,3190.11,3271,3953345
2020-05-08,pasta sauce,4809.34,2614,3510130
2020-05-08,syrups,1568.55,629,920821
2020-05-09,pancake mixes,525.55,336,438035
2020-05-09,pasta,3565.48,3677,4256909
2020-05-09,pasta sauce,4817.31,2631,3462172
2020-05-09,syrups,1824.6200000000001,748,1079035
2020-05-10,pancake mixes,442.21,269,365479
2020-05-10,pasta,3258.19,3319,3934763
2020-05-10,pasta sauce,4438.04,2426,3092134
2020-05-10,syrups,1768.53,713,1074996
2020-05-11,pancake mixes,662.17,398,570417
2020-05-11,pasta,3765.35,3906,4642444
2020-05-11,pasta sauce,4703.94,2624,3464339
2020-05-11,syrups,2202.78,894,1355237
2020-05-12,pancake mixes,941.99,587,801384
2020-05-12,pasta,5047.26,5122,5965456
2020-05-12,pasta sauce,6344.88,3429,4348479
2020-05-12,syrups,2823.84,1170,1667595
2020-05-20,pancake mixes,766.03,452,551854
2020-05-20,pasta,4852.46,4564,5818504
2020-05-20,pasta sauce,6733.37,3326,4383762
2020-05-20,syrups,2745.55,1093,1491946
2020-05-21,pancake mixes,571.73,337,483197
2020-05-21,pasta,4035.63,3728,4874114
2020-05-21,pasta sauce,5463.63,2720,3778399
2020-05-21,syrups,1855.55,748,1130615
2020-05-22,pancake mixes,451.02,266,372089
2020-05-22,pasta,3323.88,3157,4185634
2020-05-22,pasta sauce,4656.31,2333,3257756
2020-05-22,syrups,1636.4,645,954678
2020-05-23,pancake mixes,585.56,349,487789
2020-05-23,pasta,4634.42,4393,5472417
2020-05-23,pasta sauce,6272.13,3248,4212682
2020-05-23,syrups,2847.94,1147,1634041
2020-05-24,pancake mixes,590.58,344,483833
2020-05-24,pasta,3421.61,3209,4079172
2020-05-24,pasta sauce,4492.21,2327,3125993
2020-05-24,syrups,2028.3,815,1170489
2020-05-25,pancake mixes,714.76,436,626902
2020-05-25,pasta,3462.26,3297,4115800
2020-05-25,pasta sauce,4313.32,2341,3148291
2020-05-25,syrups,2258.12,939,1443321
2020-05-26,pancake mixes,922.0,534,737856
2020-05-26,pasta,4530.28,4489,5548867
2020-05-26,pasta sauce,6153.51,3310,4208916
2020-05-26,syrups,2933.39,1190,1682263
2020-06-03,pancake mixes,889.68,510,654780
2020-06-03,pasta,5198.06,5712,6997822
2020-06-03,pasta sauce,8805.79,6187,7402314
2020-06-03,syrups,2893.89,1162,1615123
2020-06-04,pancake mixes,606.78,359,510444
2020-06-04,pasta,4241.25,4726,5902834
2020-06-04,pasta sauce,7459.82,5328,6529459
2020-06-04,syrups,2003.14,819,1199206
2020-06-05,pancake mixes,513.11,317,418019
2020-06-05,pasta,3579.44,4025,4907854
2020-06-05,pasta sauce,6503.09,4798,5654548
2020-06-05,syrups,1722.1200000000001,702,1041135
2020-06-06,pancake mixes,529.27,328,439756
2020-06-06,pasta,4009.6,4552,5381564
2020-06-06,pasta sauce,7148.32,5383,6379300
2020-06-06,syrups,2019.05,850,1219001
2020-06-07,pancake mixes,518.48,301,409169
2020-06-07,pasta,3257.36,3670,4536891
2020-06-07,pasta sauce,6037.47,4457,5277278
2020-06-07,syrups,1937.36,800,1188448
2020-06-08,pancake mixes,783.08,450,650700
2020-06-08,pasta,3663.63,4059,4879854
2020-06-08,pasta sauce,6212.95,4576,5320112
2020-06-08,syrups,2336.5,966,1446070
2020-06-09,pancake mixes,943.5,547,753042
2020-06-09,pasta,4906.42,5486,6433324
2020-06-09,pasta sauce,8241.08,6142,7176593
2020-06-09,syrups,3056.47,1261,1779604
2020-06-17,pancake mixes,896.37,505,646390
2020-06-17,pasta,4686.25,4850,5981591
2020-06-17,pasta sauce,7338.79,4617,5653473
2020-06-17,syrups,2813.28,1147,1600630
2020-06-18,pancake mixes,559.7,303,434663
2020-06-18,pasta,3631.66,3758,4894959
2020-06-18,pasta sauce,5622.18,3616,4645048
2020-06-18,syrups,1904.8600000000001,775,1137820
2020-06-19,pancake mixes,512.62,310,396477
2020-06-19,pasta,3562.52,3674,4600238
2020-06-19,pasta sauce,5299.5,3343,4316588
2020-06-19,syrups,1869.73,747,1112367
2020-06-20,pancake mixes,525.81,313,437636
2020-06-20,pasta,3487.87,3584,4466147
2020-06-20,pasta sauce,4966.95,3181,4118968
2020-06-20,syrups,2070.09,853,1255796
2020-06-21,pancake mixes,583.62,346,481483
2020-06-21,pasta,3161.49,3296,4266567
2020-06-21,pasta sauce,4477.5,2882,3684931
2020-06-21,syrups,1888.19,761,1131088
2020-06-22,pancake mixes,672.46,376,536050
2020-06-22,pasta,3462.39,3579,4478931
2020-06-22,pasta sauce,4621.88,2925,3786743
2020-06-22,syrups,2252.83,915,1364196
2020-06-23,pancake mixes,897.96,503,690257
2020-06-23,pasta,4007.12,4115,5120143
2020-06-23,pasta sauce,5798.46,3776,4557846
2020-06-23,syrups,2856.4900000000002,1165,1672613
2020-07-01,pancake mixes,806.09,458,600623
2020-07-01,pasta,4682.49,4574,5875758
2020-07-01,pasta sauce,6657.6900000000005,3537,4606053
2020-07-01,syrups,2774.78,1105,1527758
2020-07-02,pancake mixes,528.9399999999999,283,390372
2020-07-02,pasta,3677.46,3533,4813468
2020-07-02,pasta sauce,5193.65,2792,3811997
2020-07-02,syrups,1891.66,778,1155604
2020-07-03,pancake mixes,475.88,261,380263
2020-07-03,pasta,3063.74,2979,3924633
2020-07-03,pasta sauce,4305.17,2321,3197882
2020-07-03,syrups,1535.81,618,941634
2020-07-04,pancake mixes,452.45,261,355156
2020-07-04,pasta,3379.44,3296,4207633
2020-07-04,pasta sauce,4466.22,2480,3230107
2020-07-04,syrups,1700.63,698,1026450
2020-07-05,pancake mixes,504.65999999999997,287,391422
2020-07-05,pasta,2929.67,2838,3663907
2020-07-05,pasta sauce,3704.11,2052,2723679
2020-07-05,syrups,1662.68,692,986626
2020-07-06,pancake mixes,604.88,361,510321
2020-07-06,pasta,3192.64,3111,4025083
2020-07-06,pasta sauce,4138.51,2270,2969075
2020-07-06,syrups,2071.58,860,1279692
2020-07-07,pancake mixes,843.21,469,656186
2020-07-07,pasta,4362.71,4470,5409536
2020-07-07,pasta sauce,5893.63,3314,4111121
2020-07-07,syrups,2637.89,1069,1496244
2020-07-15,pancake mixes,967.58,529,631036
2020-07-15,pasta,5270.97,5345,6175621
2020-07-15,pasta sauce,7441.06,4045,4900956
2020-07-15,syrups,3059.0,1212,1528140
2020-07-16,pancake mixes,484.63,261,363082
2020-07-16,pasta,3785.22,3885,4973910
2020-07-16,pasta sauce,5685.65,3158,4098727
2020-07-16,syrups,2014.43,803,1172405
2020-07-17,pancake mixes,472.37,259,364503
2020-07-17,pasta,3267.25,3314,4140865
2020-07-17,pasta sauce,4581.18,2530,3324546
2020-07-17,syrups,1888.8700000000001,755,1059892
2020-07-18,pancake mixes,461.56,263,360243
2020-07-18,pasta,2969.62,3171,3924920
2020-07-18,pasta sauce,4460.67,2542,3203164
2020-07-18,syrups,1745.09,739,1060655
2020-07-19,pancake mixes,517.96,302,398395
2020-07-19,pasta,3164.11,3299,4081672
2020-07-19,pasta sauce,4537.14,2600,3240742
2020-07-19,syrups,1885.66,786,1128324
2020-07-20,pancake mixes,582.39,341,461419
2020-07-20,pasta,2840.1,2995,3501026
2020-07-20,pasta sauce,3999.96,2335,2811937
2020-07-20,syrups,2036.35,837,1159335
2020-07-21,pancake mixes,831.06,459,619938
2020-07-21,pasta,4546.6,4725,5636100
2020-07-21,pasta sauce,6491.05,3731,4494740
2020-07-21,syrups,2904.77,1200,1622820
2020-07-29,pancake mixes,804.11,462,564905
2020-07-29,pasta,4914.49,4826,5933674
2020-07-29,pasta sauce,7256.78,3873,4944342
2020-07-29,syrups,2849.9900000000002,1160,1525367
2020-07-30,pancake mixes,523.26,309,441514
2020-07-30,pasta,3912.03,3858,5006560
2020-07-30,pasta sauce,5659.37,3131,4219399
2020-07-30,syrups,2225.96,887,1311341
2020-07-31,pancake mixes,452.69,279,393884
2020-07-31,pasta,3337.87,3284,4156716
2020-07-31,pasta sauce,4937.12,2701,3609371
2020-07-31,syrups,1810.19,740,1056295
2020-08-01,pancake mixes,647.03,386,530810
2020-08-01,pasta,4727.08,4691,5604607
2020-08-01,pasta sauce,6080.85,3433,4320872
2020-08-01,syrups,2971.29,1229,1641613
2020-08-02,pancake mixes,543.28,326,438832
2020-08-02,pasta,3458.75,3365,4147435
2020-08-02,pasta sauce,4567.04,2496,3194684
2020-08-02,syrups,1906.73,797,1168340
2020-08-03,pancake mixes,685.6899999999999,419,609782
2020-08-03,pasta,3360.75,3261,4147468
2020-08-03,pasta sauce,4442.88,2479,3230277
2020-08-03,syrups,2255.19,930,1348603
2020-08-04,pancake mixes,969.29,590,742778
2020-08-04,pasta,4774.12,4610,5663253
2020-08-04,pasta sauce,6313.84,3460,4355928
2020-08-04,syrups,3437.44,1396,1918334
2020-08-12,pancake mixes,940.62,556,678385
2020-08-12,pasta,5121.87,4566,5838931
2020-08-12,pasta sauce,6785.0,3403,4372935
2020-08-12,syrups,3133.1,1227,1650221
2020-08-13,pancake mixes,601.93,347,490670
2020-08-13,pasta,3697.67,3332,4494625
2020-08-13,pasta sauce,5234.89,2617,3603367
2020-08-13,syrups,2212.04,894,1284379
2020-08-14,pancake mixes,510.63,303,431254
2020-08-14,pasta,3254.14,2926,3850960
2020-08-14,pasta sauce,4412.75,2246,3023382
2020-08-14,syrups,2091.82,849,1220807
2020-08-15,pancake mixes,475.26,289,375412
2020-08-15,pasta,3376.14,3049,3948518
2020-08-15,pasta sauce,4403.87,2238,3019955
2020-08-15,syrups,2215.82,895,1269104
2020-08-16,pancake mixes,523.38,312,428066
2020-08-16,pasta,3350.5,2972,3878098
2020-08-16,pasta sauce,4163.73,2138,2838709
2020-08-16,syrups,2292.17,926,1328891
2020-08-17,pancake mixes,726.26,447,623725
2020-08-17,pasta,3471.92,3110,4066783
2020-08-17,pasta sauce,4379.18,2238,3025594
2020-08-17,syrups,2648.48,1074,1578813
2020-08-18,pancake mixes,947.16,555,759709
2020-08-18,pasta,4917.68,4404,5570073
2020-08-18,pasta sauce,5937.26,3062,3969692
2020-08-18,syrups,3540.92,1454,2025657
2020-08-26,pancake mixes,890.4,514,646592
2020-08-26,pasta,5080.86,4625,5897896
2020-08-26,pasta sauce,6756.19,3289,4334234
2020-08-26,syrups,3436.9900000000002,1347,1859300
2020-08-27,pancake mixes,548.16,320,441809
2020-08-27,pasta,3863.23,3492,4664668
2020-08-27,pasta sauce,5128.2,2544,3510454
2020-08-27,syrups,2260.46,926,1378412
2020-08-28,pancake mixes,472.24,283,361030
2020-08-28,pasta,3247.4,2953,3877452
2020-08-28,pasta sauce,4159.96,2083,2796926
2020-08-28,syrups,1937.01,799,1126390
2020-08-29,pancake mixes,506.02,287,386307
2020-08-29,pasta,3544.49,3269,4201106
2020-08-29,pasta sauce,4235.13,2092,2859756
2020-08-29,syrups,2547.62,1065,1515067
2020-08-30,pancake mixes,438.78,256,371936
2020-08-30,pasta,3444.85,3141,4137975
2020-08-30,pasta sauce,4168.86,2074,2838733
2020-08-30,syrups,2480.15,1025,1504653
2020-08-31,pancake mixes,573.6,355,493134
2020-08-31,pasta,3369.39,3000,3903124
2020-08-31,pasta sauce,3623.33,1814,2415613
2020-08-31,syrups,2773.08,1206,1635930
2020-09-01,pancake mixes,921.35,545,756327
2020-09-01,pasta,4939.76,4494,5652156
2020-09-01,pasta sauce,5085.57,2551,3287623
2020-09-01,syrups,4145.68,1726,2371518
2020-09-09,pancake mixes,896.76,504,656602
2020-09-09,pasta,5319.81,4889,6104266
2020-09-09,pasta sauce,5853.36,2836,3710970
2020-09-09,syrups,4160.52,1716,2324977
2020-09-10,pancake mixes,667.58,400,545639
2020-09-10,pasta,5191.98,4699,6245814
2020-09-10,pasta sauce,4767.4800000000005,2353,3223710
2020-09-10,syrups,4346.12,1859,2672180
2020-09-11,pancake mixes,919.4,551,768690
2020-09-11,pasta,5650.86,5125,6803829
2020-09-11,pasta sauce,4218.92,2033,2789669
2020-09-11,syrups,5417.22,2344,3431215
2020-09-12,pancake mixes,970.12,580,785032
2020-09-12,pasta,7392.53,6789,8339354
2020-09-12,pasta sauce,3874.27,1922,2471412
2020-09-12,syrups,6904.43,2973,4226525
2020-09-13,pancake mixes,358.3,210,200079
2020-09-13,pasta,1966.05,1829,1528484
2020-09-13,pasta sauce,812.83,403,444513
2020-09-13,syrups,1695.64,728,743397
2020-09-14,pancake mixes,614.73,365,474609
2020-09-14,pasta,2269.16,2116,2616672
2020-09-14,pasta sauce,2707.44,1347,1740617
2020-09-14,syrups,2047.82,833,1157481
2020-09-15,pancake mixes,706.2,411,535610
2020-09-15,pasta,3123.33,2970,3776028
2020-09-15,pasta sauce,4001.38,1979,2560548
2020-09-15,syrups,2498.83,983,1349629
2020-09-23,pancake mixes,636.77,359,459437
2020-09-23,pasta,3895.85,3987,5169177
2020-09-23,pasta sauce,6050.47,2957,4012550
2020-09-23,syrups,2448.53,979,1363073
2020-09-24,pancake mixes,528.46,292,432583
2020-09-24,pasta,3907.11,3949,5250141
2020-09-24,pasta sauce,5786.6,2922,4067802
2020-09-24,syrups,2237.62,881,1310675
2020-09-25,pancake mixes,421.85,238,333918
2020-09-25,pasta,3266.84,3265,4320266
2020-09-25,pasta sauce,4773.57,2366,3323794
2020-09-25,syrups,1883.87,753,1097604
2020-09-26,pancake mixes,638.07,368,495561
2020-09-26,pasta,4654.11,4770,5951998
2020-09-26,pasta sauce,5882.65,2973,3919692
2020-09-26,syrups,3185.15,1315,1785769
2020-09-27,pancake mixes,449.67,242,342396
2020-09-27,pasta,2978.83,2963,3799057
2020-09-27,pasta sauce,4276.29,2136,2858254
2020-09-27,syrups,1881.5,757,1067795
2020-09-28,pancake mixes,681.06,381,573156
2020-09-28,pasta,3655.6,3746,4848686
2020-09-28,pasta sauce,5058.02,2564,3447129
2020-09-28,syrups,2723.03,1125,1636446
2020-09-29,pancake mixes,1072.57,604,804614
2020-09-29,pasta,5026.1,5084,6176274
2020-09-29,pasta sauce,6549.6,3309,4228008
2020-09-29,syrups,3748.21,1523,2095346
2020-10-07,pancake mixes,903.81,520,635974
2020-10-07,pasta,4872.19,4776,6049090
2020-10-07,pasta sauce,6958.44,3477,4577384
2020-10-07,syrups,3227.22,1290,1774538
2020-10-08,pancake mixes,571.29,300,414589
2020-10-08,pasta,3806.18,3699,4845001
2020-10-08,pasta sauce,5356.24,2714,3743749
2020-10-08,syrups,2525.76,1035,1486314
2020-10-09,pancake mixes,507.02,288,407698
2020-10-09,pasta,3352.03,3290,4234701
2020-10-09,pasta sauce,4764.6,2422,3334826
2020-10-09,syrups,2240.57,941,1326373
2020-10-10,pancake mixes,610.4,344,500629
2020-10-10,pasta,3629.72,3622,4691660
2020-10-10,pasta sauce,5166.24,2635,3536173
2020-10-10,syrups,2771.87,1144,1604888
2020-10-11,pancake mixes,492.27,267,377877
2020-10-11,pasta,3434.36,3372,4364689
2020-10-11,pasta sauce,4563.02,2325,3179280
2020-10-11,syrups,2795.52,1170,1598575
2020-10-12,pancake mixes,760.26,422,613731
2020-10-12,pasta,3769.45,3733,4736345
2020-10-12,pasta sauce,4815.74,2451,3304604
2020-10-12,syrups,3206.94,1348,1910914
2020-10-13,pancake mixes,1166.83,645,869010
2020-10-13,pasta,5323.5199999999995,5217,6371190
2020-10-13,pasta sauce,7020.0,3525,4430124
2020-10-13,syrups,4337.82,1788,2391764
